source,confidence,target,weight
IRF7,A,CXCL10,1.0
IRF5,A,TNF,1.0
IRF4,A,FCER2,1.0
JUN,A,SPRR3,1.0
JUN,A,TIMP2,1.0
JUN,A,TNFRSF10A,1.0
JUN,A,TXN,1.0
MITF,A,GPNMB,1.0
MITF,A,CDK2,1.0
MITF,A,BCL2A1,-1.0
MEF2D,A,SOST,-1.0
MEF2D,A,ATF3,1.0
MEF2C,A,SOST,-1.0
MEF2C,A,NR4A1,-1.0
MEF2C,A,CPT1B,1.0
LHX4,A,POU1F1,1.0
LEF1,A,TCF3,1.0
IRF3,A,PURA,-1.0
LEF1,A,NT5E,1.0
LEF1,A,CCL7,1.0
LEF1,A,BIRC5,1.0
KLF6,A,LTC4S,1.0
KLF5,A,NOTCH1,1.0
KLF4,A,THBD,1.0
KLF10,A,CDKN1A,1.0
JUND,A,ITGB3,-1.0
JUND,A,ITGAV,-1.0
JUND,A,IL3,1.0
JUN,A,VCAM1,1.0
LEF1,A,NRCAM,1.0
IRF3,A,IRF7,1.0
TP53,A,PLK2,1.0
IRF1,A,IL10,1.0
HIF1A,A,NR3C1,1.0
HIF1A,A,MIF,1.0
HIF1A,A,FAM162A,1.0
HIF1A,A,ENO1,1.0
HIF1A,A,E2F3,1.0
HIF1A,A,CXCL12,1.0
HIC1,A,VLDLR,-1.0
HHEX,A,HNF4A,1.0
HEY2,A,GATA6,-1.0
HEY2,A,ACTA2,-1.0
HIF1A,A,PPP1R3C,1.0
HBP1,A,NCF1,-1.0
GLI2,A,FST,1.0
GLI2,A,FOXA2,1.0
GLI2,A,FAS,-1.0
GLI1,A,EGR2,-1.0
GFI1B,A,MEF2C,-1.0
GATA3,A,TCF7L2,1.0
RELA,A,GATA3,1.0
GATA3,A,NFKB1,1.0
NFKB1,A,GATA3,1.0
GATA3,A,IL12RB2,-1.0
GLI2,A,WNT2B,1.0
ELK1,A,FUT4,1.0
HIF1A,A,SOCS1,1.0
HIF1A,A,TLR6,1.0
IRF1,A,CASP7,1.0
HSF2,A,MAPK8,-1.0
HSF2,A,MAP2K4,-1.0
HOXD3,A,ITGB3,1.0
HOXD3,A,ITGB1,1.0
HOXC8,A,TNFRSF11B,1.0
HOXB13,A,TCF4,-1.0
HOXA5,A,TH,1.0
HOXA4,A,TH,1.0
HOXA10,A,ITGB3,1.0
HIF1A,A,TLR2,1.0
HNF4G,A,CYP2D6,1.0
HNF4A,A,TBP,1.0
HNF4A,A,SERPINC1,1.0
HNF4A,A,PCSK9,1.0
HNF4A,A,LDLR,1.0
HNF4A,A,GPR39,1.0
HNF4A,A,CEACAM1,1.0
HNF4A,A,ABCG5,-1.0
HLF,A,RUNX1,-1.0
HIF1A,A,ZNF217,1.0
HIF1A,A,VEGFB,1.0
HNF4A,A,TCF7L2,1.0
MITF,A,HERC2,1.0
ELK1,A,ERBB2,1.0
EGR1,A,UBE2S,1.0
ATF4,A,CXCL8,1.0
ATF2,A,PCK2,1.0
ATF2,A,IMPDH2,1.0
ATF2,A,CYP11B2,1.0
ATF2,A,CYP11B1,1.0
ATF1,A,TOP2A,1.0
ATF1,A,SLC20A1,1.0
ATF1,A,PLAUR,1.0
ATF1,A,PCSK1,1.0
ATF1,A,NTS,1.0
ATF1,A,MAP1LC3B,1.0
ATF1,A,LDHA,1.0
ATF1,A,FLT1,1.0
ATF1,A,ERBB2,1.0
ATF1,A,CYP11B2,1.0
ATF1,A,CYP11B1,1.0
ATF1,A,CCNA1,-1.0
FOS,A,ARNT,1.0
TP53,A,RHOA,1.0
ARNT,A,BHLHE40,1.0
AR,A,TRPS1,1.0
ATF4,A,DISC1,1.0
ATF5,A,DISC1,1.0
ATF6,A,DDIT3,1.0
ATF6,A,DNAJC3,1.0
CEBPA,A,SLC10A1,1.0
CEBPA,A,SERPINC1,1.0
CEBPA,A,SAA1,1.0
CEBPA,A,PCK2,1.0
CEBPA,A,MSR1,1.0
CEBPA,A,MAD1L1,1.0
CEBPA,A,IL5,1.0
CEBPA,A,IL3,1.0
CEBPA,A,IL10,1.0
CEBPA,A,IGF1,1.0
AR,A,PNRC1,1.0
CEBPA,A,ID1,1.0
CEBPA,A,HSPA4,1.0
CEBPA,A,HOMER3,1.0
CEBPA,A,FN1,1.0
CEBPA,A,CXCR2,1.0
CEBPA,A,CSF1,1.0
CDX2,A,SLC9A2,1.0
BCL6,A,IRF4,-1.0
BCL6,A,HDAC7,-1.0
ATF6,A,SRF,1.0
ATF6,A,RTN3,1.0
CEBPA,A,ICAM1,1.0
CEBPA,A,STAT3,1.0
AR,A,PIGR,1.0
AR,A,KLF5,1.0
USF1,A,OGN,1.0
USF1,A,CYP3A4,1.0
USF1,A,CYP1A2,1.0
TP53,A,MRPL27,1.0
TP53,A,HNRNPUL1,1.0
TP53,A,ASCC3,1.0
TP53,A,TCEAL1,1.0
TP53,A,CCNK,1.0
TP53,A,GPX1,1.0
NKX2-1,A,SFTPA1,1.0
NR2F2,A,PPARA,1.0
NR2F1,A,APOC3,-1.0
TFAP2A,A,SMPD1,1.0
TFAP2A,A,SERPINE1,1.0
TFAP2A,A,NME3,1.0
TFAP2A,A,CSH1,1.0
TEAD1,A,MSLN,1.0
ZEB1,A,SPRR1B,1.0
ZEB1,A,LAMC2,1.0
ZEB1,A,ITGB4,1.0
TCF7L2,A,GLCE,1.0
USF1,A,P4HA1,1.0
USF1,A,TCN2,1.0
USF1,A,TGFB2,1.0
USF1,A,SERBP1,1.0
AR,A,FOXA1,1.0
AR,A,CDH2,1.0
TCFL5,A,CD2,-1.0
NFAT5,A,S100A4,1.0
MXD4,A,ODC1,1.0
CEBPZ,A,SOX9,1.0
CEBPZ,A,MLH1,-1.0
CEBPZ,A,COL11A1,-1.0
TP53,A,RPS27L,1.0
TP63,A,PPARA,1.0
AR,A,NDRG1,1.0
TP53,A,SCN3B,1.0
ZNF202,A,ABCA1,-1.0
ZNF143,A,ESCO2,1.0
YY1,A,FDPS,-1.0
VDR,A,IL10,-1.0
USF2,A,SF1,1.0
USF2,A,TGFB2,1.0
USF2,A,TCN2,1.0
USF2,A,P4HA1,1.0
USF2,A,CYP1A2,1.0
USF2,A,CEACAM1,1.0
KLF11,A,PDX1,1.0
CEBPA,A,VLDLR,1.0
CEBPB,A,CSF3R,1.0
CEBPB,A,CSRP1,1.0
E2F4,A,AURKB,1.0
E2F3,A,PLK1,1.0
E2F1,A,ZNF350,-1.0
E2F1,A,WWOX,-1.0
E2F1,A,ULK1,1.0
E2F1,A,TOP2A,1.0
E2F1,A,RRP1B,1.0
E2F1,A,RRM2,1.0
E2F1,A,RRM1,1.0
E2F1,A,RASGRP1,1.0
E2F1,A,RASGEF1B,1.0
E2F1,A,PTPRO,1.0
E2F1,A,NPAT,1.0
E2F1,A,MYH10,1.0
E2F1,A,MYB,1.0
E2F1,A,MEFV,1.0
E2F1,A,MCM5,1.0
E2F1,A,MAPK8,1.0
E2F1,A,MAP1LC3A,1.0
E2F1,A,KDR,1.0
E2F1,A,IL1B,1.0
E2F4,A,CDK2,1.0
E2F4,A,CUX1,1.0
E2F4,A,HCFC1,1.0
E2F4,A,LIN54,1.0
EGR1,A,TOE1,1.0
EGR1,A,TFPI2,1.0
EGR1,A,TCF4,1.0
EGR1,A,PTP4A1,1.0
EGR1,A,PTGS2,-1.0
EGR1,A,POR,1.0
EGR1,A,PLAUR,1.0
EGR1,A,PLAU,1.0
EGR1,A,PCSK2,1.0
EGR1,A,LMTK2,1.0
E2F1,A,GINS3,1.0
EGR1,A,IMPDH2,1.0
EGR1,A,HYAL1,1.0
EGR1,A,FCER2,-1.0
EGR1,A,EP300,1.0
EGR1,A,CDK5R1,1.0
EGR1,A,AKR1B1,1.0
E2F8,A,E2F1,-1.0
E2F7,A,E2F1,-1.0
E2F5,A,MYC,1.0
E2F4,A,TOPBP1,-1.0
E2F4,A,MCM10,-1.0
EGR1,A,IL2RB,1.0
E2F1,A,FLT1,1.0
E2F1,A,FHIT,-1.0
E2F1,A,FANCA,1.0
CREB1,A,ODC1,1.0
CREB1,A,NTS,1.0
CREB1,A,MSMB,1.0
CREB1,A,HPGD,1.0
CREB1,A,HLA-DQB1,1.0
CREB1,A,ERBB2,1.0
CREB1,A,CYP17A1,1.0
CREB1,A,CYP11B1,1.0
CREB1,A,CXCR4,1.0
CREB1,A,CCL5,1.0
CREB1,A,POLD2,1.0
CREB1,A,BDKRB1,1.0
CEBPE,A,MYC,-1.0
CEBPE,A,GATA1,-1.0
CEBPE,A,CTSG,1.0
CEBPD,A,POU5F1,1.0
CEBPD,A,GADD45G,1.0
CEBPB,A,SLC10A1,1.0
CEBPB,A,IL24,1.0
CEBPB,A,GADD45G,1.0
CEBPB,A,FURIN,1.0
CEBPB,A,F8,1.0
CREB1,A,ADRA1A,1.0
ELK1,A,CITED2,1.0
CREB1,A,RRM2B,1.0
CREB1,A,SLC20A1,1.0
E2F1,A,ETV4,1.0
E2F1,A,ERCC1,1.0
E2F1,A,DRAM1,1.0
E2F1,A,DNMT1,1.0
E2F1,A,CUX1,1.0
E2F1,A,CTNNBIP1,1.0
E2F1,A,CASP7,1.0
E2F1,A,AURKA,1.0
DNMT1,A,TIMP3,-1.0
DNMT1,A,SFRP5,1.0
CREB1,A,SLC19A1,1.0
DNMT1,A,MSH2,1.0
CTCF,A,SIX5,1.0
CTCF,A,PTPRG,1.0
CTCF,A,PBXIP1,1.0
CTCF,A,ETNK2,1.0
CTCF,A,DMPK,1.0
CTCF,A,CCND1,1.0
CTCF,A,BBC3,1.0
CTCF,A,ASAP2,1.0
CREM,A,DUSP1,-1.0
CREB3L1,A,SLC1A4,-1.0
CTCF,A,SLC6A4,1.0
TCF7L2,A,MYC,1.0
MITF,A,PMEL,1.0
MITF,A,SERPINF1,1.0
SNAI2,A,JAG1,1.0
SNAI2,A,CXCR4,1.0
SNAI1,A,THBS1,-1.0
SNAI1,A,HBEGF,1.0
TP53,A,LIG1,1.0
SMAD4,A,ZFP36,1.0
SMAD4,A,EPO,1.0
SMAD4,A,DACH1,-1.0
SMAD4,A,COL7A1,1.0
SMAD4,A,BTRC,-1.0
SMAD4,A,AHR,1.0
SMAD3,A,ZFP36,1.0
SMAD3,A,FSTL3,1.0
SMAD3,A,COL7A1,1.0
SMAD3,A,AHR,1.0
SMAD1,A,TNFRSF11B,1.0
SALL4,A,ZEB1,1.0
RXRA,A,CPT1B,1.0
RXRA,A,ABCC3,-1.0
RUNX3,A,TCF4,1.0
RUNX3,A,MMP9,-1.0
SOX10,A,COL11A2,1.0
SOX2,A,ISL1,-1.0
SOX2,A,RHO,-1.0
SOX4,A,HDAC8,1.0
SP1,A,IMPDH2,1.0
SP1,A,IL2RB,1.0
SP1,A,HTR1A,1.0
SP1,A,HSD17B1,1.0
SP1,A,HOXB7,1.0
SP1,A,HLA-G,1.0
SP1,A,HDAC4,1.0
SP1,A,HCN2,1.0
SP1,A,GH2,1.0
SP1,A,CYP7A1,1.0
RUNX3,A,ICAM3,-1.0
SP1,A,COL18A1,1.0
SP1,A,CD163,1.0
SP1,A,AREG,1.0
SP1,A,AGT,1.0
SP1,A,ADRA2B,1.0
SP1,A,ADRA1A,1.0
SP1,A,ADH6,1.0
SP1,A,ADAM10,1.0
SP1,A,ACAN,1.0
SOX9,A,PRAME,-1.0
SOX6,A,TP53,1.0
SP1,A,CD83,1.0
SP1,A,KRT19,1.0
RUNX3,A,CFLAR,-1.0
RUNX1,A,PIK3CD,1.0
RELA,A,XIAP,1.0
RELA,A,VEGFA,1.0
RELA,A,TRIB3,-1.0
RELA,A,TNFRSF10B,1.0
RELA,A,TNFRSF10A,1.0
RELA,A,TNFAIP3,1.0
RELA,A,THBD,-1.0
RELA,A,TBX21,1.0
RELA,A,SNAI1,1.0
RELA,A,SLC25A27,1.0
RELA,A,RIPK2,1.0
RELA,A,PTPN13,1.0
RELA,A,PTHLH,1.0
RELA,A,PPARD,-1.0
RELA,A,PLAUR,1.0
RELA,A,PCK2,-1.0
RELA,A,OPTN,1.0
RELA,A,NOLC1,1.0
RELA,A,NCAM1,1.0
RELA,A,MMP2,1.0
RELA,A,MMP14,1.0
RELB,A,CCL19,1.0
RELB,A,CCL21,1.0
RELB,A,CD40,1.0
RELB,A,PIGR,1.0
RUNX1,A,NFKB1,1.0
RUNX1,A,MECOM,1.0
RUNX1,A,MAD2L1,-1.0
RUNX1,A,ITGB2,1.0
RORC,A,IL22,1.0
RORC,A,IL17A,1.0
RORA,A,TUBA1B,1.0
RFX5,A,HLA-DRB5,1.0
RFX5,A,HLA-DRB4,1.0
RFX5,A,HLA-DRB3,1.0
RUNX3,A,CASP8,1.0
RFX5,A,HLA-DRB1,1.0
RFX5,A,HLA-DQB1,1.0
RFX5,A,HLA-DQA2,1.0
RFX5,A,HLA-DQA1,1.0
RFX5,A,HLA-DPB1,1.0
RFX5,A,HLA-DPA1,1.0
RFX5,A,HLA-DOB,1.0
RFX5,A,HLA-DOA,1.0
RFX5,A,HLA-DMB,1.0
RFX5,A,HLA-DMA,1.0
RFX1,A,MYC,-1.0
RFX5,A,HLA-DRA,1.0
SP1,A,KRT5,1.0
SP1,A,MAT2B,1.0
SP1,A,MCTS1,1.0
STAT3,A,CCND3,1.0
STAT1,A,VIP,1.0
STAT1,A,TP53,1.0
TP53,A,STAT1,1.0
STAT1,A,TLR3,1.0
STAT1,A,TIMP1,1.0
STAT1,A,STAT2,1.0
STAT1,A,PLSCR1,1.0
STAT1,A,PIM1,1.0
STAT1,A,NOX5,1.0
STAT1,A,KRT17,1.0
STAT1,A,IL2RA,1.0
STAT1,A,IL1R1,1.0
STAT1,A,HMOX1,1.0
STAT1,A,FGFR3,-1.0
STAT1,A,EGFR,1.0
STAT1,A,CTSL,1.0
STAT1,A,CTSB,1.0
STAT1,A,CFTR,1.0
STAT1,A,CEBPE,1.0
STAT1,A,CCR1,1.0
STAT3,A,CDK4,1.0
STAT3,A,CFB,1.0
STAT3,A,CISH,1.0
STAT3,A,CSRP1,1.0
TBP,A,FUS,-1.0
TAL1,A,ERG,1.0
TAL1,A,CD34,-1.0
STAT6,A,FOS,1.0
STAT5B,A,IFNG,1.0
STAT5B,A,ESR2,1.0
STAT5B,A,CEL,1.0
STAT5B,A,BCL6,1.0
STAT5A,A,CEL,1.0
STAT4,A,SOCS3,-1.0
STAT1,A,CCL3,1.0
STAT4,A,PIM1,1.0
STAT3,A,VEGFB,1.0
STAT3,A,NOX5,1.0
STAT3,A,MYD88,1.0
STAT3,A,LTBP1,-1.0
STAT3,A,IL2RA,1.0
STAT3,A,IFNAR1,1.0
STAT3,A,HSPB1,1.0
STAT3,A,HMOX1,1.0
STAT3,A,FAS,-1.0
TP53,A,IL1B,1.0
STAT3,A,ZFP36,1.0
STAT1,A,APP,1.0
SRF,A,SAMD4A,1.0
TP53,A,JAK2,1.0
SP3,A,RORA,1.0
SP3,A,MSH6,1.0
SP3,A,HOXB7,1.0
SP3,A,ETF1,-1.0
SP3,A,CYP17A1,1.0
SP3,A,CD83,1.0
SP3,A,CD14,1.0
SP3,A,BPI,1.0
SP2,A,DNMT3B,1.0
SP100,A,ETS1,-1.0
SP3,A,SLC19A3,1.0
SP1,A,YY1,1.0
SP1,A,TGM4,1.0
SP1,A,TFPI2,1.0
SP1,A,RORA,1.0
SP1,A,PPL,1.0
SP1,A,PDHA1,1.0
SP1,A,PDE6A,1.0
SP1,A,NFKB2,1.0
SP1,A,MPG,1.0
SP1,A,MNDA,1.0
SP1,A,MME,1.0
SP1,A,TNFSF14,1.0
RELA,A,KLK3,1.0
SP3,A,SLC1A3,1.0
SP3,A,TIMP2,1.0
SRF,A,MMP2,1.0
SRF,A,FOSL1,1.0
SRF,A,ACTA1,1.0
SPIB,A,IRF7,-1.0
SPI1,A,WAS,1.0
SPI1,A,STAT3,1.0
SPI1,A,SCARB2,1.0
SPI1,A,SCARB1,1.0
SPI1,A,P2RY10,1.0
SPI1,A,MSR1,1.0
SP3,A,TGM4,1.0
SPI1,A,MNDA,1.0
SPI1,A,IL5,1.0
SPI1,A,ERAP2,1.0
SPI1,A,CSF2RA,1.0
SPI1,A,CD22,1.0
SPI1,A,CD163,1.0
SPI1,A,BPI,1.0
SPDEF,A,AGR2,1.0
SP4,A,YY1,1.0
SP4,A,PDE6B,1.0
SP4,A,ERBB2,1.0
SPI1,A,MACROD1,-1.0
MITF,A,PRKCB,1.0
RELA,A,IRF4,1.0
RELA,A,IL18,1.0
NFKB1,A,EDN1,1.0
NFKB1,A,CYP27B1,1.0
NFKB1,A,CYP19A1,-1.0
NFKB1,A,CXCL2,1.0
NFKB1,A,CTSB,1.0
NFKB1,A,CSNK2A1,1.0
NFKB1,A,COL1A1,-1.0
NFKB1,A,CD86,1.0
NFKB1,A,CD83,1.0
NFKB1,A,CD80,1.0
NFKB1,A,CD69,1.0
NFKB1,A,CD58,1.0
NFKB1,A,CCR7,1.0
NFKB1,A,CCND2,1.0
NFKB1,A,CCL5,1.0
NFKB1,A,CCL4,1.0
NFKB1,A,CCL3,1.0
NFKB1,A,CCL22,1.0
NFKB1,A,BST1,1.0
NFKB1,A,BIRC3,1.0
NFKB1,A,BIRC2,1.0
NFKB1,A,F3,1.0
NFKB1,A,F8,1.0
NFKB1,A,FASLG,1.0
NFKB1,A,FBP1,1.0
NFKB1,A,PTAFR,1.0
NFKB1,A,PLAUR,1.0
NFKB1,A,PLAU,1.0
NFKB1,A,PDE7A,1.0
NFKB1,A,NOLC1,1.0
NFKB1,A,MMP2,1.0
NFKB1,A,MMP14,1.0
NFKB1,A,MICA,1.0
NFKB1,A,MAT2A,1.0
NFKB1,A,MADCAM1,1.0
NFKB1,A,B2M,1.0
NFKB1,A,LPL,1.0
NFKB1,A,JUNB,1.0
NFKB1,A,IRF1,1.0
NFKB1,A,IL18,1.0
NFKB1,A,IL12B,1.0
NFKB1,A,IL12A,1.0
NFKB1,A,HLA-F,1.0
NFKB1,A,GSTP1,1.0
NFKB1,A,GDNF,1.0
NFKB1,A,GADD45G,1.0
NFKB1,A,VEGFD,1.0
NFKB1,A,KLK3,1.0
NFKB1,A,PTPN13,1.0
NFKB1,A,ATF3,1.0
NFKB1,A,AKT1,-1.0
NANOG,A,GATA4,-1.0
NANOG,A,CDX2,-1.0
MYC,A,WRN,1.0
MYC,A,TFAP4,1.0
MYC,A,ST3GAL1,1.0
MYC,A,SHMT1,1.0
MYC,A,HLA-F,1.0
MYC,A,HDAC2,1.0
MYC,A,ASS1,1.0
MYBL2,A,PSG1,1.0
MYBL1,A,NCL,1.0
MYB,A,WAS,1.0
MYB,A,TK1,1.0
MYB,A,SIM2,1.0
MYB,A,NMU,1.0
MZF1,A,MYB,1.0
MYB,A,GSTM1,1.0
MYB,A,COL1A1,1.0
MYB,A,CEBPA,1.0
MSC,A,MMP2,1.0
MSC,A,IL10,1.0
NANOG,A,L1TD1,1.0
NANOG,A,LAMB1,-1.0
NCOA3,A,BCL2,1.0
NFATC1,A,IFNG,1.0
NFKB1,A,AGER,1.0
NFKB1,A,ADORA1,1.0
NFKB1,A,ABCB1,1.0
NFKB1,A,A2M,1.0
NFIC,A,TFPI2,1.0
NFIC,A,SLC34A2,1.0
NFIC,A,POLE2,1.0
NFIC,A,POLD2,1.0
NFIC,A,MATN1,-1.0
NFIC,A,JUN,1.0
NFKB1,A,AMH,1.0
NFIC,A,ITGA5,-1.0
NFIC,A,HMGB1,1.0
NFIC,A,GUCY1B1,1.0
NFIC,A,GTF3C2,1.0
NFIC,A,GTF3C1,1.0
NFIC,A,COL1A1,1.0
NFIC,A,COL18A1,1.0
NFIC,A,ALAS1,1.0
NFIA,A,CDKN1A,-1.0
NFE2L2,A,MTHFR,1.0
NFE2L2,A,GSTA1,1.0
NFIC,A,HSD11B2,1.0
NFKB1,A,RIPK2,1.0
NFKB1,A,RRM2B,1.0
NFKB1,A,SERPINA3,-1.0
RARA,A,MACROD1,-1.0
RARA,A,ETS1,1.0
RARA,A,CCNA1,-1.0
PROX1,A,NR5A2,-1.0
PPARG,A,TSHR,-1.0
PPARG,A,TNFRSF11B,1.0
PPARG,A,POU2F1,1.0
PPARG,A,CPT1B,1.0
PPARG,A,CD83,1.0
PPARG,A,APOBR,-1.0
PPARG,A,APOB,-1.0
PPARD,A,LPL,1.0
PPARA,A,TUBA1B,-1.0
PPARA,A,MMP9,-1.0
PPARA,A,APOBR,-1.0
PPARA,A,APOB,1.0
POU5F1,A,ID2,-1.0
POU3F2,A,GNRH1,1.0
POU3F1,A,GNRH1,1.0
POU2F2,A,SPP1,1.0
POU2F2,A,SPI1,1.0
RARA,A,PRKCA,1.0
RARA,A,SCD,1.0
RARA,A,THBD,1.0
RARG,A,ICAM1,1.0
RELA,A,HDAC1,1.0
RELA,A,GADD45G,1.0
RELA,A,VEGFD,1.0
RELA,A,EPAS1,1.0
E2F1,A,RELA,1.0
RELA,A,CTSB,1.0
RELA,A,COL2A1,-1.0
RELA,A,COL1A1,-1.0
RELA,A,CFLAR,1.0
RELA,A,CDK6,1.0
POU2F2,A,IL5,1.0
RELA,A,CDK4,1.0
RELA,A,CD69,1.0
RELA,A,CD58,1.0
RELA,A,CCL4,1.0
RELA,A,BIRC5,1.0
RELA,A,BIRC2,1.0
RELA,A,AMH,1.0
RELA,A,AGER,1.0
REL,A,TNFAIP3,1.0
REL,A,CSRP1,1.0
ATF2,A,RB1,1.0
RELA,A,CD83,1.0
POU2F1,A,TXNRD1,1.0
POU2F1,A,ST6GAL1,1.0
POU2F1,A,SNAPC1,1.0
NFYA,A,FXR2,1.0
NFKB2,A,SND1,1.0
NFKB2,A,CDK6,1.0
NFKB2,A,CCND2,1.0
NFKB2,A,CCL21,1.0
NFKB1,A,XIAP,1.0
NFKB1,A,VEGFA,1.0
NFKB1,A,TRAF1,1.0
NFKB1,A,TNFSF10,1.0
NFKB1,A,TNFRSF10B,1.0
NFYB,A,FXR2,1.0
NFKB1,A,TNFRSF10A,1.0
NFKB1,A,TNC,1.0
NFKB1,A,TLR2,1.0
NFKB1,A,TIMP1,-1.0
NFKB1,A,THBD,-1.0
NFKB1,A,TFPI2,1.0
NFKB1,A,TFF3,1.0
NFKB1,A,TBX21,1.0
NFKB1,A,SOCS3,1.0
NFKB1,A,SERPINE1,1.0
NFKB1,A,SERPINB1,1.0
NFKB1,A,TNFAIP3,1.0
RELA,A,IL1A,-1.0
TP53,A,NINJ1,1.0
NR1H4,A,ABCB4,1.0
POU2F1,A,RRM2B,1.0
POU2F1,A,POU2AF1,1.0
POU2F1,A,PLAU,1.0
POU2F1,A,GNRH1,1.0
POU2F1,A,GCM1,1.0
POU2F1,A,BDKRB1,1.0
POU1F1,A,GH2,1.0
PKNOX1,A,PTPN6,1.0
RELA,A,PGR,-1.0
PGR,A,KLK3,1.0
NPAS2,A,CRY2,1.0
PAX6,A,PDHX,-1.0
PAX6,A,ITGA5,1.0
PAX5,A,BCL2,-1.0
PAX2,A,TP53,-1.0
NRF1,A,FXR2,1.0
NR3C1,A,ETS1,-1.0
NR3C1,A,CDK6,-1.0
NR3C1,A,ATF2,-1.0
NR2F6,A,LHCGR,-1.0
NR2F1,A,APOA2,-1.0
NR1H4,A,NR1I2,1.0
PAX6,A,ITGB1,1.0
TBX5,A,CDKN2A,1.0
TCF3,A,CR2,1.0
HNF1A,A,CYP3A4,1.0
E2F4,A,RRM1,1.0
E2F4,A,RPA3,1.0
E2F4,A,RECQL,1.0
E2F4,A,RBBP5,1.0
E2F4,A,PCNA,1.0
E2F4,A,NASP,1.0
E2F4,A,MTHFD1,1.0
E2F4,A,MFAP1,1.0
E2F4,A,MAP3K5,1.0
E2F4,A,EPAS1,1.0
E2F4,A,DHPS,1.0
E2F4,A,DDX11,1.0
E2F4,A,CYP27B1,1.0
E2F4,A,CDC25C,1.0
E2F4,A,CDC6,1.0
